classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
62;3337;RUMPF TIM;INTENSITYWORKOUT.CH;H;Elite;SUI;44;55;03:19:28;0;
63;3201;CARRUZZO OLIVIER;FOOTING CLUB LAUSANNE;H;Elite;SUI;45;56;03:19:38;0;
64;3712;SCHNETZ EMILIEN;;H;Elite;SUI;46;57;03:19:38;0;
65;3406;MEYRAT GUILLAUME;;H;Elite;SUI;47;58;03:20:25;0;
66;3083;BOEFFFARD PAUL;;H;Elite;FRA;48;59;03:21:53;0;
67;3673;SIJBRANDIJ PETER JESSE;;H;Elite;NED;49;60;03:22:40;0;
68;3269;MOREL MATHIS;;H;Junior;FRA;2;61;03:23:21;0;
69;3072;JOSÉ PEIXOTO COELHO;;H;Elite;POR;50;62;03:23:45;0;
70;3362;LEBET ARNAUD;DIRSTY BOYZ;H;Elite;SUI;51;63;03:24:27;0;
71;3475;DIETLER SILAS;;H;Elite;SUI;52;64;03:24:30;0;
72;3590;GUTZWILLER JONATHAN;HEYCIAO/NCF;H;Elite;SUI;53;65;03:24:30;0;
73;3508;EVEN ALEXANDRE;TAG HEUER;H;Elite;FRA;54;66;03:24:33;0;
74;3291;HINDER JAN;T SQUAD;H;Elite;SUI;55;67;03:24:52;0;
75;3752;DE PARY ORLANDO;;H;Elite;SUI;56;68;03:25:00;0;
76;3021;GINETTI MICHAEL;ROLLING DINOSAURUS;H;Elite;BEL;57;69;03:25:21;0;
77;3085;ROY VIRGINIE;COURIR MOROGES/TEAM BUET;F;Senior 2;FRA;1;8;03:25:31;0;
78;3615;LEFEBVRE JÉRÔME;COLMAR TRAIL AVENTURES;H;Senior 1;FRA;8;70;03:26:05;0;
79;3380;VILLALOBOS MARTÍNEZ MARCELA;CROSS CLUB LES FÉES;F;Elite;MEX;7;9;03:26:07;0;
80;3294;SILVA DANIEL;;F;Elite;BRA;8;10;03:26:34;0;
81;3625;CADET VALENTIN;GOLDEN STAR;H;Elite;FRA;58;71;03:26:40;0;
82;3675;ERIC SIVIGNON;;H;Senior 1;SUI;9;72;03:27:02;0;
83;3272;BUCATARIU IULIAN;;H;Elite;ROU;59;73;03:28:04;0;
84;3002;ZEHNDER QUENTIN;FC RANCES;H;Elite;SUI;60;74;03:28:18;0;
85;3578;PASQUIER DAMIEN;;H;Senior 1;FRA;10;75;03:30:09;0;
86;3630;GUGGENHEIM DELIA;;F;Elite;SUI;9;11;03:30:28;0;
87;3068;MACCHI ARNO;;H;Elite;SUI;61;76;03:30:39;0;
88;3316;WATTS SOPHIE;COOLSAET GO;F;Elite;CAN;10;12;03:31:03;0;
89;3395;LERCH PHILIPPER;;H;Senior 2;SUI;4;77;03:31:05;0;
90;3542;HENDRICK MARTIN;;H;Elite;BEL;62;78;03:31:08;0;
91;3494;JUNGER MARION;RTS;F;Elite;SUI;11;13;03:31:21;0;
92;3461;GAPANY DAVY;WRT;H;Elite;SUI;63;79;03:32:06;0;
93;3283;CHANSON SÉBASTIEN;INTENSITYWORKOUT.CH;H;Senior 1;SUI;11;80;03:32:57;0;
94;3031;GIRINSHUTI CRISPIN;;H;Senior 1;SUI;12;81;03:33:31;0;
95;3007;CASANOVA ROMERO FLORIAN;TRAILERS PARK BOYS;H;Senior 1;ESP;13;82;03:33:32;0;
96;3032;TILLIE FLORENT;;H;Elite;BEL;64;83;03:34:00;0;
97;3467;BRUWIER JEAN-PAUL;TRAIL BY TRAIN TOUR;H;Senior 2;BEL;5;84;03:34:04;0;
98;3194;SERRAO LORENZO;;H;Elite;SUI;65;85;03:34:39;0;
99;3612;BALIMANN RAPHAEL;3FIFTY9;H;Senior 1;SUI;14;86;03:34:48;0;
100;3222;SANGLÉ-FERRIÈRE MARIE;;F;Elite;FRA;12;14;03:35:14;0;
101;3470;LYONS DYLAN;;H;Elite;SUI;66;87;03:35:23;0;
102;3499;LÉCRIVAIN FLORIAN;;H;Elite;FRA;67;88;03:35:37;0;
103;3677;BENICHOU PAUL;;H;Elite;FRA;68;89;03:36:03;0;
104;3437;COSANDIER THOMAS;;H;Elite;SUI;69;90;03:36:04;0;
105;3124;CAREGNATO ALESSANDRO;WILL TI PA TI PA;H;Senior 1;ITA;15;91;03:37:37;0;
106;3341;SIMPSON ZAK;;H;Elite;GBR;70;92;03:38:42;0;
107;3078;BIGOLIN ANNA;EXDURANCE;F;Elite;SUI;13;15;03:39:53;0;
108;3347;BUSS PIERRE-EMMANUEL;;H;Senior 2;SUI;6;93;03:40:03;0;
109;3074;SCHNEIDER DOMINIQUE;;H;Veteran;SUI;1;94;03:40:10;0;
110;3110;MANCHON FLAVIEN;;H;Senior 1;FRA;16;95;03:40:39;0;
111;3156;WEISS ALEXANDRE;COURIR MOROGES;H;Elite;FRA;71;96;03:40:41;0;
112;3265;REUCHERAND SÉBASTIEN;VERTICAL SPORTS;H;Senior 1;SUI;17;97;03:40:42;0;
113;3256;BARBERON BRYAN;;H;Elite;SUI;72;98;03:40:45;0;
114;3730;REDEMPT ALEXIS;;H;Elite;FRA;73;99;03:41:15;0;
115;3138;BERTHOUD NICOLAS;VERTICAL SPORTS;H;Senior 1;SUI;18;100;03:41:15;0;
116;3140;CHARRIÈRE SÉBASTIEN;LA GÎÎÎÎÎTE;H;Elite;SUI;74;101;03:41:46;0;
117;3227;SCHOPFER CORALINE;SKI CLUB LA BRÉVINE;F;Elite;SUI;14;16;03:41:56;0;
118;3345;CELINE HARTMANN;;F;Elite;SUI;15;17;03:42:15;0;
119;3307;BÄBLER MARC;FÖRDERVEREIN FÜR KINDER MIT SELTENEN KRANKHEITEN;H;Senior 1;SUI;19;102;03:42:23;0;
120;3500;VANNIER VALENTIN;;H;Elite;FRA;75;103;03:43:25;0;
121;3575;WETS PIERRE;;H;Senior 2;SUI;7;104;03:43:36;0;
122;3693;SIGRIST KÉO;LES ÉCORSE;H;Junior;SUI;3;105;03:43:38;0;
123;3252;PAYRARD LOÏC;;H;Elite;SUI;76;106;03:43:39;0;
124;3589;ESTELLI ARTHUR;;H;Cadet;SUI;1;107;03:44:54;0;
125;3579;JAQUET ANDREA;ANCO;H;Cadet;SUI;2;108;03:44:54;0;
126;3587;JEANVOINE OLIVIER;;H;Veteran;FRA;2;109;03:45:01;0;
127;3404;LUCAS IRIONDO JOKIN;;H;Elite;ESP;77;110;03:45:08;0;
128;3699;KHOURI CHARLES;;H;Elite;FRA;78;111;03:45:09;0;
129;3491;WYSSEN ALWIN;ATHLETIC TEAM RECHTHALTEN;H;Veteran;SUI;3;112;03:45:14;0;
130;3379;MERCEY OLIVIER;;H;Elite;FRA;79;113;03:45:56;0;
131;3320;MOSER CAMILO;;H;Elite;SUI;80;114;03:46:02;0;
132;3604;KOPP LIONEL;;H;Senior 1;SUI;20;115;03:46:43;0;
133;3544;VAILLIER JULIE;;F;Senior 1;FRA;2;18;03:47:47;0;
134;3370;BOITEUX SÉBASTIEN;;H;Senior 1;FRA;21;116;03:47:47;0;
135;3204;FELLER MATTHIAS;;H;Elite;SUI;81;117;03:47:59;0;
136;3651;PICCIUTO WALTER;;H;Senior 1;SUI;22;118;03:48:10;0;
137;3152;GROUVEL GAUTIER;;H;Elite;FRA;82;119;03:48:17;0;
138;3670;BAGULEY JON;;H;Elite;GBR;83;120;03:48:17;0;
139;3647;WEBER DAVID;;H;Senior 1;SUI;23;121;03:48:25;0;
140;3452;COCHAND LAURE;;F;Elite;SUI;16;19;03:48:42;0;
141;3324;SLETTENHAAR ARNAUD;;H;Elite;SUI;84;122;03:49:28;0;
142;3186;AUBERT SAMUEL;NAVA;H;Senior 1;SUI;24;123;03:49:56;0;
143;3534;GERARD DAVID;TEAM GRAND CHASSERAL;H;Senior 2;SUI;8;124;03:50:16;0;
